UNI_ID,PUB_DOI,UNI_DAS,PUB_DAS,downloaded,MANUAL_DAS,DAS_TEXT,DAS_LOC,MANUAL_DAS_CAT,DASLINKS
297603,10.2196/44601,No,NA,TRUE,,,,,
310503,10.2196/50463,No,NA,TRUE,,,,,
303495,10.3791/64698,No,NA,TRUE,,,,,
284362,10.1086/723257,No,NA,TRUE,,,,,
301900,10.1086/724963,No,NA,TRUE,,,,,
294016,10.1086/725401,No,NA,TRUE,,,,,
293032,10.1002/rvr2.37,No,NA,TRUE,,,,,
295033,10.1002/rvr2.40,No,NA,TRUE,,,,,
308215,10.1002/sd.2801,No,NA,TRUE,,,,,
263032,10.1145/3487053,No,NA,TRUE,,,,,
286283,10.1145/3573894,No,NA,TRUE,,,,,
301718,10.1145/3606947,No,NA,TRUE,,,,,
285855,10.2514/1.t6547,No,NA,TRUE,,,,,
306820,10.5070/l2.2466,No,NA,TRUE,,,,,
314785,10.1002/edn3.502,No,NA,TRUE,,,,,
298042,10.1002/hpja.735,No,NA,TRUE,,,,,
302438,10.1002/jgf2.640,No,NA,TRUE,,,,,
301278,10.1002/wene.495,No,NA,TRUE,,,,,
298238,10.1113/jp284583,No,NA,TRUE,,,,,
269859,10.1130/b36266.1,No,NA,TRUE,,,,,
269858,10.1130/b36268.1,No,NA,TRUE,,,,,
285805,10.1130/g50390.1,No,NA,TRUE,,,,,
290618,10.1130/g50675.1,No,NA,TRUE,,,,,
293312,10.1136/bmj.p493,No,NA,TRUE,,,,,
295294,10.1136/bmj.p595,No,NA,TRUE,,,,,
309677,10.21464/sp38103,No,NA,TRUE,,,,,
296814,10.5334/paah.280,No,NA,TRUE,,,,,
299679,10.1002/alz.13391,No,NA,TRUE,,,,,
288248,10.1002/ana.26570,No,NA,TRUE,,,,,
286235,10.1002/art.42429,No,NA,TRUE,,,,,
292226,10.1002/asmb.2753,No,NA,TRUE,,,,,
287306,10.1002/bes2.2038,No,NA,TRUE,,,,,
286263,10.1002/ejhf.2751,No,NA,TRUE,,,,,
297090,10.1002/ejhf.2871,No,NA,TRUE,,,,,
298810,10.1002/ejhf.2911,No,NA,TRUE,,,,,
294363,10.1111/apm.13310,No,NA,TRUE,,,,,
295243,10.1111/apm.13315,No,NA,TRUE,,,,,
306442,10.1111/apt.17720,No,NA,TRUE,,,,,
296818,10.1111/bph.16098,No,NA,TRUE,,,,,
316198,10.1111/brv.12976,No,NA,TRUE,,,,,
304535,10.1111/cen.14961,No,NA,TRUE,,,,,
314690,10.1111/cob.12626,No,NA,TRUE,,,,,
289980,10.1111/dar.13596,No,NA,TRUE,,,,,
295210,10.1111/dar.13643,No,NA,TRUE,,,,,
296237,10.1111/dom.15085,No,NA,TRUE,,,,,
286109,10.1111/ehr.13234,No,NA,TRUE,,,,,
302602,10.1111/evj.13963,No,NA,TRUE,,,,,
292315,10.1111/jar.13076,No,NA,TRUE,,,,,
266154,10.1111/joa.13654,No,NA,TRUE,,,,,
291880,10.1111/joa.13786,No,NA,TRUE,,,,,
295162,10.1115/1.4062165,No,NA,TRUE,,,,,
300112,10.1136/bmj.p1094,No,NA,TRUE,,,,,
307818,10.1136/bmj.p2304,No,NA,TRUE,,,,,
307883,10.1159/000531503,No,NA,TRUE,,,,,
314805,10.1364/oe.510341,No,NA,TRUE,,,,,
286349,10.1364/ol.478765,No,NA,TRUE,,,,,
303550,10.14512/rur.1695,No,NA,TRUE,,,,,
290616,10.2337/dc22-0670,No,NA,TRUE,,,,,
295581,10.2514/1.c037257,No,NA,TRUE,,,,,
297127,10.2514/1.c037258,No,NA,TRUE,,,,,
304380,10.3390/v15081708,No,NA,TRUE,,,,,
305427,10.3390/v15091847,No,NA,TRUE,,,,,
253125,10.3998/ergo.2277,No,NA,TRUE,,,,,
296380,10.3998/ergo.5184,No,NA,TRUE,,,,,
295995,10.3998/ergo.5190,No,NA,TRUE,,,,,
318964,10.52953/gjii3746,No,NA,TRUE,,,,,
318963,10.52953/opdk5666,No,NA,TRUE,,,,,
302762,10.56230/osotl.10,No,NA,TRUE,,,,,
293103,10.56230/osotl.48,No,NA,TRUE,,,,,
289028,10.56230/osotl.50,No,NA,TRUE,,,,,
301099,10.56230/osotl.54,No,NA,TRUE,,,,,
289995,10.56230/osotl.55,No,NA,TRUE,,,,,
319056,10.56230/osotl.58,No,NA,TRUE,,,,,
292522,10.56230/osotl.61,No,NA,TRUE,,,,,
297137,10.56230/osotl.63,No,NA,TRUE,,,,,
292028,10.56230/osotl.64,No,NA,TRUE,,,,,
292027,10.56230/osotl.71,No,NA,TRUE,,,,,
292809,10.56230/osotl.72,No,NA,TRUE,,,,,
291564,10.1002/ehf2.14315,No,NA,TRUE,,,,,
296555,10.1002/ehf2.14363,No,NA,TRUE,,,,,
301080,10.1002/ijgo.14947,No,NA,TRUE,,,,,
292277,10.1002/mdc3.13688,No,NA,TRUE,,,,,
268737,10.1017/nie.2022.7,No,NA,TRUE,,,,,
293019,10.1017/pcm.2023.9,No,NA,TRUE,,,,,
293493,10.1039/d2cy02154d,No,NA,TRUE,,,,,
291879,10.1039/d2va00247g,No,NA,TRUE,,,,,
297167,10.1039/d3cp00648d,No,NA,TRUE,,,,,
297933,10.1039/d3mh00056g,No,NA,TRUE,,,,,
275999,10.1111/anae.15814,No,NA,TRUE,,,,,
283972,10.1111/anae.15889,No,NA,TRUE,,,,,
292390,10.1111/anae.15969,No,NA,TRUE,,,,,
293169,10.1111/anae.15992,No,NA,TRUE,,,,,
297210,10.1111/anae.16043,No,NA,TRUE,,,,,
286167,10.1111/febs.16674,No,NA,TRUE,,,,,
307606,10.1111/jifm.12192,No,NA,TRUE,,,,,
